,adj_close,return,india_vix,1Y,3Y,5Y,10Y,net_laf,net_laf_ma30,net_laf_sd30,liquidity_z_30d,rv_30d,rv_30d_ann,vix_30d,vix_pct,vix_ann_est,rv_30d_ann_filled,vix_minus_rv,yield_slope_10y_1y,yield_curvature,yield_5y_3y,vol_liq_interaction,high_vol_flag,liquidity_stress_flag,rv_90d,rv_90d_ann,vol_cluster_ratio,pred_2,pred_3,pred_4,regime_ensemble,regime_hmm_2,regime_hmm_3,regime_hmm_4
2015-03-24,8542.950195,-0.000930,13.670000,,,,,-4751.000000,16792.433300,24156.767700,-0.891800,0.008785,0.139465,17.452500,13.670000,0.136700,0.139465,-0.002765,,,,-0.124375,0,0,0.009818,0.155849,0.894870,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000
2015-03-25,8530.799805,-0.001422,13.140000,,,,,-29530.000000,15471.933300,25577.064100,-1.759500,0.008671,0.137654,17.189643,13.140000,0.131400,0.137654,-0.006254,,,,-0.242202,0,1,0.009729,0.154447,0.891268,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2015-03-26,8342.150391,-0.022114,15.160000,,,,,-28991.000000,14355.800000,26775.209100,-1.618900,0.009358,0.148555,17.011071,15.160000,0.151600,0.148555,0.003045,,,,-0.240496,0,1,0.010096,0.160276,0.926872,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2015-03-27,8341.400391,-0.000090,14.500000,,,,,-12033.000000,13155.966700,27133.987200,-0.928300,0.009050,0.143661,16.811071,14.500000,0.145000,0.143661,0.001339,,,,-0.133361,0,0,0.010006,0.158839,0.904448,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2015-03-30,8492.299805,0.018090,14.260000,,,,,12571.000000,12185.100000,26593.244300,0.014500,0.009802,0.155599,16.576429,14.260000,0.142600,0.155599,-0.012999,,,,0.002256,0,0,0.010200,0.161923,0.960942,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2015-03-31,8491.000000,-0.000153,14.490000,,,,,81540.000000,13513.200000,29003.598500,2.345500,0.009627,0.152830,16.504483,14.490000,0.144900,0.152830,-0.007930,,,,0.358462,0,1,0.010112,0.160523,0.952072,1.000000,1.000000,2.000000,1.000000,1.000000,1.000000,2.000000
2015-04-01,8586.250000,0.011218,13.670000,,,,,81540.000000,14778.800000,31112.207800,2.145800,0.009793,0.155458,16.254828,13.670000,0.136700,0.155458,-0.018758,,,,0.333581,0,1,0.010126,0.160739,0.967144,1.000000,1.000000,2.000000,1.000000,1.000000,1.000000,2.000000
2015-04-06,8659.900391,0.008578,14.570000,,,,,-90436.000000,619.633300,44504.579200,-2.046000,0.010101,0.160341,15.654074,14.570000,0.145700,0.160341,-0.014641,,,,-0.328057,0,1,0.010095,0.160253,1.000550,1.000000,1.000000,2.000000,1.000000,1.000000,1.000000,2.000000
2015-04-07,8660.299805,0.000046,14.250000,,,,,-45853.000000,-2136.000000,44744.790800,-0.977000,0.010098,0.160303,15.383704,14.250000,0.142500,0.160303,-0.017803,,,,-0.156617,0,0,0.010012,0.158937,1.008598,1.000000,1.000000,2.000000,1.000000,1.000000,1.000000,2.000000
2015-04-08,8714.400391,0.006247,14.350000,,,,,-18872.000000,-3941.700000,44272.545700,-0.337200,0.010178,0.161563,15.145556,14.350000,0.143500,0.161563,-0.018063,,,,-0.054479,0,0,0.009957,0.158061,1.022157,1.000000,1.000000,2.000000,1.000000,1.000000,1.000000,2.000000
